trip_id,start_time,end_time,headway_secs
O0275AAA0AIDU02,05:00:00,06:00:00,3600
O0275AAA0AIDU02,06:00:00,08:00:00,1800
O0275AAA0AIDU02,08:00:00,09:06:00,1980
O0275AAA0AIDU02,09:06:00,21:51:00,2700
O0275AAA0AVDU02,06:11:00,07:11:00,3600
O0275AAA0AVDU02,07:11:00,08:11:00,1800
O0275AAA0AVDU02,08:11:00,09:17:00,1980
O0275AAA0AVDU02,09:17:00,23:32:00,2700
O0292AAA0AIDU01,03:35:00,04:59:00,720
O0292AAA0AIDU01,04:59:00,05:55:00,420
O0292AAA0AIDU01,05:55:00,07:07:00,360
O0292AAA0AIDU01,07:07:00,08:10:00,420
O0292AAA0AIDU01,08:10:00,09:14:00,480
O0292AAA0AIDU01,09:14:00,10:14:00,720
O0292AAA0AIDU01,10:14:00,11:26:00,720
O0292AAA0AIDU01,11:26:00,13:06:00,600
O0292AAA0AIDU01,13:06:00,14:30:00,720
O0292AAA0AIDU01,14:30:00,15:36:00,660
O0292AAA0AIDU01,15:36:00,18:00:00,540
O0292AAA0AIDU01,18:00:00,19:05:00,780
O0292AAA0AIDU01,19:05:00,20:15:00,840
O0292AAA0AIDU01,20:15:00,21:45:00,1080
O0292AAA0AVDU01,04:54:00,05:50:00,420
O0292AAA0AVDU01,05:50:00,07:02:00,360
O0292AAA0AVDU01,07:02:00,08:05:00,420
O0292AAA0AVDU01,08:05:00,09:09:00,480
O0292AAA0AVDU01,09:09:00,10:09:00,720
O0292AAA0AVDU01,10:09:00,11:33:00,720
O0292AAA0AVDU01,11:33:00,13:03:00,600
O0292AAA0AVDU01,13:03:00,14:39:00,720
O0292AAA0AVDU01,14:39:00,15:45:00,660
O0292AAA0AVDU01,15:45:00,16:48:00,540
O0292AAA0AVDU01,16:48:00,18:12:00,420
O0292AAA0AVDU01,18:12:00,19:15:00,540
O0292AAA0AVDU01,19:15:00,20:20:00,780
O0292AAA0AVDU01,20:20:00,21:30:00,840
O0292AAA0AVDU01,21:30:00,23:00:00,1080
O0311AAA0AIDU02,04:00:00,07:00:00,3600
O0312AAA0AIDU01,04:25:00,04:55:00,1800
O0312AAA0AIDU01,04:55:00,05:51:00,840
O0312AAA0AIDU01,05:51:00,06:47:00,420
O0312AAA0AIDU01,06:47:00,08:05:00,360
O0312AAA0AIDU01,08:05:00,09:08:00,540
O0312AAA0AIDU01,09:08:00,11:20:00,660
O0312AAA0AIDU01,11:20:00,13:17:00,540
O0312AAA0AIDU01,13:17:00,15:29:00,720
O0312AAA0AIDU01,15:29:00,17:05:00,360
O0312AAA0AIDU01,17:05:00,18:08:00,420
O0312AAA0AIDU01,18:08:00,19:08:00,600
O0312AAA0AIDU01,19:08:00,21:38:00,900
O0312AAA0AVDU01,05:38:00,06:08:00,1800
O0312AAA0AVDU01,06:08:00,06:50:00,420
O0312AAA0AVDU01,06:50:00,08:02:00,360
O0312AAA0AVDU01,08:02:00,09:05:00,540
O0312AAA0AVDU01,09:05:00,11:28:00,660
O0312AAA0AVDU01,11:28:00,13:25:00,540
O0312AAA0AVDU01,13:25:00,15:25:00,720
O0312AAA0AVDU01,15:25:00,18:19:00,360
O0312AAA0AVDU01,18:19:00,19:22:00,420
O0312AAA0AVDU01,19:22:00,20:22:00,600
O0312AAA0AVDU01,20:22:00,22:52:00,900
O0315AAA0AIDU02,03:50:00,04:50:00,1800
O0315AAA0AIDU02,04:50:00,05:45:00,660
O0315AAA0AIDU02,05:45:00,07:09:00,420
O0315AAA0AIDU02,07:09:00,08:13:00,480
O0315AAA0AIDU02,08:13:00,09:19:00,660
O0315AAA0AIDU02,09:19:00,10:29:00,840
O0315AAA0AIDU02,10:29:00,12:45:00,1020
O0315AAA0AIDU02,12:45:00,13:39:00,1080
O0315AAA0AIDU02,13:39:00,15:31:00,840
O0315AAA0AIDU02,15:31:00,19:41:00,600
O0315AAA0AIDU02,19:41:00,20:51:00,840
O0315AAA0AIDU02,20:51:00,22:31:00,1200
O0315AAA0AVDU02,03:50:00,04:50:00,1800
O0315AAA0AVDU02,04:50:00,05:45:00,660
O0315AAA0AVDU02,05:45:00,07:09:00,420
O0315AAA0AVDU02,07:09:00,08:13:00,480
O0315AAA0AVDU02,08:13:00,09:19:00,660
O0315AAA0AVDU02,09:19:00,10:29:00,840
O0315AAA0AVDU02,10:29:00,12:45:00,1020
O0315AAA0AVDU02,12:45:00,13:39:00,1080
O0315AAA0AVDU02,13:39:00,15:31:00,840
O0315AAA0AVDU02,15:31:00,19:41:00,600
O0315AAA0AVDU02,19:41:00,20:51:00,840
O0315AAA0AVDU02,20:51:00,22:31:00,1200
O0355AAA0AIDU02,04:00:00,05:00:00,900
O0355AAA0AIDU02,05:00:00,05:56:00,420
O0355AAA0AIDU02,05:56:00,08:01:00,300
O0355AAA0AIDU02,08:01:00,09:01:00,360
O0355AAA0AIDU02,09:01:00,09:46:00,540
O0355AAA0AIDU02,09:46:00,10:50:00,480
O0355AAA0AIDU02,10:50:00,13:10:00,420
O0355AAA0AIDU02,13:10:00,14:14:00,480
O0355AAA0AIDU02,14:14:00,14:34:00,600
O0355AAA0AIDU02,14:34:00,15:37:00,540
O0355AAA0AIDU02,15:37:00,16:55:00,360
O0355AAA0AIDU02,16:55:00,17:35:00,300
O0355AAA0AIDU02,17:35:00,18:38:00,420
O0355AAA0AIDU02,18:38:00,19:38:00,600
O0355AAA0AIDU02,19:38:00,20:48:00,840
O0355AAA0AIDU02,20:48:00,22:33:00,900
O0355AAA0AVDU02,05:30:00,06:30:00,900
O0355AAA0AVDU02,06:30:00,08:00:00,300
O0355AAA0AVDU02,08:00:00,09:00:00,360
O0355AAA0AVDU02,09:00:00,09:54:00,540
O0355AAA0AVDU02,09:54:00,10:50:00,480
O0355AAA0AVDU02,10:50:00,13:10:00,420
O0355AAA0AVDU02,13:10:00,14:14:00,480
O0355AAA0AVDU02,14:14:00,14:34:00,600
O0355AAA0AVDU02,14:34:00,15:37:00,540
O0355AAA0AVDU02,15:37:00,16:55:00,360
O0355AAA0AVDU02,16:55:00,19:05:00,300
O0355AAA0AVDU02,19:05:00,20:08:00,420
O0355AAA0AVDU02,20:08:00,24:08:00,600
O0369AAA0AIDU01,04:20:00,04:45:00,1500
O0369AAA0AIDU01,04:45:00,07:05:00,1200
O0369AAA0AIDU01,07:05:00,08:11:00,1320
O0369AAA0AIDU01,08:11:00,09:26:00,1500
