trip_id,arrival_time,departure_time,stop_id,shape_dist_traveled,stop_sequence,stop_headsign,timepoint
O0041CAA0AIDU01,05:00:00,05:00:00,3157O00018C0,0,1,,0
O0041CAA0AIDU01,05:03:33,05:03:33,3157O00005C2,1280,2,,0
O0041CAA0AIDU01,05:04:41,05:04:41,3157O00006C0,1689,3,,0
O0041CAA0AIDU01,05:05:55,05:05:55,3157O00007C0,2132,4,,0
O0041CAA0AIDU01,05:06:55,05:06:55,3157O00008C0,2492,5,,0
O0041CAA0AIDU01,05:07:28,05:07:28,3157O00009C0,2693,6,,0
O0041CAA0AIDU01,05:08:48,05:08:48,3157O00013C0,3169,7,,0
O0041CAA0AIDU01,05:39:09,05:39:09,1003O00012C0,14097,8,,0
O0041CAA0AIDU01,05:41:17,05:41:17,1003O00067C2,14866,9,,0
O0041CAA0AIDU01,05:43:29,05:43:29,1002O00012C2,15658,10,,0
O0041CAA0AIDU01,05:44:16,05:44:16,1002O00013C0,15937,11,,0
O0041CAA0AIDU01,05:45:09,05:45:09,1001O00006C0,16257,12,,0
O0041CAA0AIDU01,05:45:30,05:45:30,1002O00007C0,16382,13,,0
O0041CAA0AIDU01,05:45:49,05:45:49,1005O00140C0,16496,14,,0
O0041CAA0AIDU01,05:46:46,05:46:46,1005O00090C0,16837,15,,0
O0041CAA0AIDU01,05:48:15,05:48:15,1005O00197C0,17370,16,,0
O0041CAA0AIDU01,05:49:18,05:49:18,1005O00180C0,17751,17,,0
O0041CAA0AIDU01,05:50:00,05:50:00,1005O00181C0,18003,18,,0
O0041CAA0AIDU01,05:51:19,05:51:19,1005O00189C0,18474,19,,0
O0041CAA0AIDU01,05:51:36,05:51:36,1005O00190C0,18579,20,,0
O0041CAA0AIDU01,05:52:46,05:52:46,1005O00219C0,18997,21,,0
O0041CAA0AIDU01,05:54:02,05:54:02,2016O00040C0,19455,22,,0
O0041CAA0AIDU01,05:54:41,05:54:41,2016O00052C9,19690,23,,0
O0041CAA0AIDU01,05:55:57,05:55:57,2016O00019C0,20146,24,,0
O0041CAA0AIDU01,05:57:11,05:57:11,2016O00024C0,20589,25,,0
O0041CAA0AIDU01,05:57:54,05:57:54,2015O00028C0,20846,26,,0
O0041CAA0AIDU01,05:58:44,05:58:44,2015O00029C0,21146,27,,0
O0041CAA0AIDU01,05:59:27,05:59:27,2015O00030C0,21406,28,,0
O0041CAA0AIDU01,06:00:05,06:00:05,2015O00031C0,21630,29,,0
O0041CAA0AIDU01,06:00:33,06:00:33,2015O00034C0,21799,30,,0
O0041CAA0AIDU01,06:00:55,06:00:55,2015O00035C0,21930,31,,0
O0041CAA0AIDU01,06:02:02,06:02:02,2015O00039C0,22335,32,,0
O0041CAA0AIDU01,06:02:30,06:02:30,2015O00040C0,22500,33,,0
O0041CAA0AIDU01,06:04:11,06:04:11,2020O00075S0,23106,34,,0
O0041CAA0AIDU01,06:05:30,06:05:30,2020O00076S0,23580,35,,0
O0041CAA0AIDU01,06:06:44,06:06:44,2020O00064S0,24024,36,,0
O0041CAA0AIDU01,06:07:52,06:07:52,2020O00004S0,24434,37,,0
O0041CAA0AIDU01,06:08:37,06:08:37,2020O00005S0,24702,38,,0
O0041CAA0AIDU01,06:09:55,06:09:55,2020O00040S0,25171,39,,0
O0041CAA0AIDU01,06:10:43,06:10:43,2021O00006S0,25458,40,,0
O0041CAA0AIDU01,06:11:36,06:11:36,2021O00010S0,25779,41,,0
O0041CAA0AIDU01,06:12:53,06:12:53,2021O00008S0,26241,42,,0
O0041CAA0AIDU01,06:13:58,06:13:58,2028O00023C0,26633,43,,0
O0041CAA0AIDU01,06:14:40,06:14:40,2028O00025C0,26880,44,,0
O0041CAA0AIDU01,06:15:23,06:15:23,2028O00027C0,27143,45,,0
O0041CAA0AIDU01,06:16:16,06:16:16,2028O00029C0,27459,46,,0
O0041CAA0AIDU01,06:17:07,06:17:07,2028O00031C0,27763,47,,0
O0041CAA0AIDU01,06:18:20,06:18:20,2028O00032C0,28201,48,,0
O0041CAA0AIDU01,06:18:43,06:18:43,2028O00034C0,28340,49,,0
O0041CAA0AIDU01,06:20:45,06:20:45,2028O00036C0,29075,50,,0
O0041CAA0AIDU01,06:21:55,06:21:55,2029O00038C0,29492,51,,0
O0041CAA0AIDU01,06:23:01,06:23:01,2029O00028C0,29888,52,,0
O0041CAA0AIDU01,06:32:24,06:32:24,2031O00023C0,33267,53,,0
O0041CAA0AIDU01,06:32:57,06:32:57,2031O00018C0,33467,54,,0
O0041CAA0AIDU01,06:34:20,06:34:20,2031O00013C0,33961,55,,0
O0041CAA0AIDU01,06:36:31,06:36:31,2031O00014C0,34747,56,,0
O0041CAA0AIDU01,06:49:53,06:49:53,4128O00223C0,39563,57,,0
O0041CAA0AIDU01,06:51:22,06:51:22,4128O00172C0,40096,58,,0
O0041CAA0AIDU01,06:52:17,06:52:17,4128O00109C0,40423,59,,0
O0041CAA0AIDU01,06:53:10,06:53:10,4128O00188C0,40740,60,,0
O0041CAA0AIDU01,06:53:42,06:53:42,4128O00189C0,40935,61,,0
O0041CAA0AIDU01,06:55:12,06:55:12,4128O00138C0,41475,62,,0
O0041CAA0AIDU01,06:56:35,06:56:35,4128O00139C0,41973,63,,0
O0041CAA0AIDU01,06:57:24,06:57:24,4128O00125C0,42266,64,,0
O0041CAA0AIDU01,06:58:14,06:58:14,4128O00126C0,42568,65,,0
O0041CAA0AIDU01,06:58:55,06:58:55,4128O00127C0,42815,66,,0
O0041CAA0AIDU01,06:59:53,06:59:53,4128O00128C0,43158,67,,0
O0041CAA0AIDU01,07:01:31,07:01:31,4128O00129C0,43751,68,,0
O0041CAA0AIDU01,07:02:44,07:02:44,4128O00113C0,44189,69,,0
O0041CAA0AIDU01,07:04:08,07:04:08,4128O00114C0,44693,70,,0
O0041CAA0AIDU01,07:05:29,07:05:29,4128O00115C0,45176,71,,0
O0041CAA0AIDU01,07:06:37,07:06:37,4128O00116C0,45582,72,,0
O0041CAA0AIDU01,07:08:00,07:08:00,4128O00117C0,46085,73,,0
O0041CAA0AIDU01,07:09:46,07:09:46,4128O00118C0,46716,74,,0
O0041CAA0AIDU01,07:11:00,07:11:00,4128O00119C0,47164,75,,0
O0041CAA0AIDU01,07:12:19,07:12:19,4128O00120C0,47634,76,,0
O0041CAA0AIDU01,07:13:35,07:13:35,4128O00121C0,48095,77,,0
O0041CAA0AIDU01,07:14:46,07:14:46,4128O00122C0,48520,78,,0
O0041CAA0AIDU01,07:15:59,07:15:59,4128O00055C0,48954,79,,0
O0041CAA0AIDU01,07:17:14,07:17:14,4128O00056C0,49406,80,,0
O0041CAA0AIDU01,07:23:44,07:23:44,4128O00169P0,51746,81,,0
O0388AAA0AVDU02,18:00:00,18:00:00,1005O00370C1,0,1,,0
O0388AAA0AVDU02,18:00:56,18:00:56,1005O00158S0,437,2,,0
O0388AAA0AVDU02,18:02:40,18:02:40,1005O00012S0,1234,3,,0
O0388AAA0AVDU02,18:04:04,18:04:04,1008O00026S0,1878,4,,0
O0388AAA0AVDU02,18:05:41,18:05:41,1008O00030S0,2626,5,,0
O0388AAA0AVDU02,18:06:58,18:06:58,1003O00028C0,3213,6,,0
O0388AAA0AVDU02,18:07:11,18:07:11,1003O00031C0,3316,7,,0
O0388AAA0AVDU02,19:04:21,19:04:21,5135O00001C9,29655,8,,0
O0388AAA0AVDU02,19:08:53,19:08:53,5135O00002C0,31742,9,,0
O0388AAA0AVDU02,19:11:19,19:11:19,5139O00002C9,32863,10,,0
O0388AAA0AVDU02,19:12:04,19:12:04,5139O00204C9,33213,11,,0
O0388AAA0AVDU02,19:12:27,19:12:27,5139O00003C9,33392,12,,0
O0388AAA0AVDU02,19:13:44,19:13:44,5139O00004C9,33983,13,,0
O0388AAA0AVDU02,19:14:42,19:14:42,5139O00006C9,34427,14,,0
O0388AAA0AVDU02,19:15:35,19:15:35,5139O00205C9,34833,15,,0
O0388AAA0AVDU02,19:16:22,19:16:22,5139O00008C9,35196,16,,0
O0388AAA0AVDU02,19:17:19,19:17:19,5140O00079C9,35628,17,,0
O0388AAA0AVDU02,19:17:54,19:17:54,5140O00080C9,35897,18,,0
O0388AAA0AVDU02,19:19:22,19:19:22,5141O00001C9,36579,19,,0
O0388AAA0AVDU02,19:21:53,19:21:53,5141O00213C9,37734,20,,0
O0388AAA0AVDU02,19:22:40,19:22:40,5141O00254C9,38096,21,,0
O0388AAA0AVDU02,19:24:57,19:24:57,5162O00001C9,39151,22,,0
O0388AAA0AVDU02,19:26:07,19:26:07,5162O00002C9,39690,23,,0
O0388AAA0AVDU02,19:26:47,19:26:47,5162O00007C9,39993,24,,0
O0388AAA0AVDU02,19:27:20,19:27:20,5162O00003C9,40250,25,,0
O0388AAA0AVDU02,19:28:18,19:28:18,5141O00004C9,40691,26,,0
O0388AAA0AVDU02,19:29:42,19:29:42,5141O00005C9,41341,27,,0
O0388AAA0AVDU02,19:32:09,19:32:09,5141O00255C9,42464,28,,0
O0388AAA0AVDU02,19:32:51,19:32:51,5144O00022C9,42790,29,,0
O0388AAA0AVDU02,19:33:56,19:33:56,5144O00422C9,43290,30,,0
O0388AAA0AVDU02,19:36:33,19:36:33,5144O00024C9,44497,31,,0
O0388AAA0AVDU02,19:39:19,19:39:19,5144O00025C9,45772,32,,0
O0388AAA0AVDU02,19:39:49,19:39:49,5144O00481C9,45996,33,,0
O0388AAA0AVDU02,19:40:30,19:40:30,5144O00026C9,46311,34,,0
O0388AAA0AVDU02,19:41:12,19:41:12,5144O00027C9,46640,35,,0
O0388AAA0AVDU02,19:41:45,19:41:45,5144O00423C9,46893,36,,0
O0388AAA0AVDU02,19:43:22,19:43:22,5144O00028C0,47632,37,,0
O0388AAA0AVDU02,19:44:10,19:44:10,5144O00029C9,48003,38,,0
O0388AAA0AVDU02,19:45:47,19:45:47,5144O00030C9,48749,39,,0
O0388AAA0AVDU02,19:48:02,19:48:02,5144O00031C9,49788,40,,0
O0388AAA0AVDU02,19:51:19,19:51:19,5144O00032C0,51298,41,,0
O0388AAA0AVDU02,19:54:16,19:54:16,5144O00033C0,52659,42,,0
O0388AAA0AVDU02,19:55:55,19:55:55,5148O00002C9,53416,43,,0
O0388AAA0AVDU02,19:57:17,19:57:17,5148O00003C9,54049,44,,0
O0388AAA0AVDU02,19:58:21,19:58:21,5148O00004C9,54537,45,,0
O0388AAA0AVDU02,19:59:35,19:59:35,5148O00005C9,55104,46,,0
O0388AAA0AVDU02,20:00:51,20:00:51,5148O00006C9,55692,47,,0
O0388AAA0AVDU02,20:01:52,20:01:52,5148O00007C9,56161,48,,0
O0388AAA0AVDU02,20:04:53,20:04:53,5149O00225C9,57550,49,,0
O0388AAA0AVDU02,20:05:35,20:05:35,5149O00001C9,57873,50,,0
O0388AAA0AVDU02,20:08:03,20:08:03,5149O00002C0,59010,51,,0
O0388AAA0AVDU02,20:09:12,20:09:12,5149O00178C9,59543,52,,0
O0388AAA0AVDU02,20:12:29,20:12:29,5149O00265C9,61054,53,,0
O0388AAA0AVDU02,20:13:13,20:13:13,5149O00003C9,61390,54,,0
O0388AAA0AVDU02,20:14:32,20:14:32,5149O00005C9,61999,55,,0
