stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
1001O00006C0,"Avenida Barão de Tefé,  oposto ao 99",-22.89731,-43.18737,0,
1002O00001C0,"Rua Rivadávia Corrêa , 187",-22.89797,-43.1954,0,
1002O00004C0,Rua Rivadávia Corrêa próximo ao 227-247,-22.89541,-43.1964,0,
1002O00007C0,Rua Camerino próximo ao 32,-22.8984,-43.18773,0,
1002O00008C0,Rua Bento Ribeiro próximo ao 104,-22.90064,-43.19296,0,
1002O00010C0,AquaRio,-22.89331,-43.1926,0,
1002O00012C2,Silvino Montenegro,-22.894498326883987,-43.19044341219903,0,
1002O00013C0,Hospital dos Servidores,-22.89538,-43.18789,0,
1003O00006C0,Avenida Professor Pereira Reis próximo ao 53-101,-22.897653147971305,-43.20227880431652,0,
1003O00012C0,"Via Binário do Porto , oposto ao 310",-22.897611225346008,-43.203760468578324,0,
1003O00015C0,"Rua Equador, oposto ao 436",-22.8976,-43.20581,0,
1003O00016C0,Via Binário do Porto próximo ao 742-778,-22.89699,-43.20429,0,
1003O00017C0,Via D1 próximo ao 101 - Santo Cristo,-22.90124247078919,-43.20657119510651,0,
1003O00018C0,Cordeiro da Graça,-22.89979,-43.20569,0,
1003O00020C0,Avenida Rodrigues Alves próximo ao 747,-22.89605,-43.20335,0,
1003O00022P0,Terminal Padre Henrique Otte :: Plat. C,-22.901143706186485,-43.2078174343586,0,1003O00037T0
1003O00023C0,VIA BINÁRIO DO PORTO,-22.8943,-43.19774,0,
1003O00026C0,Avenida  Francisco  Bicalho 347,-22.90861,-43.20924,0,
1003O00027C0,Geógrafo Milton Santos,-22.90678,-43.20935,0,
1003O00028C0,Geógrafo Milton Santos,-22.907146817827808,-43.2094612245369,0,
1003O00029C0,"Rua Francisco Bicalho  s/n, ao lado da Rua Cmte Garcia Pires",-22.90082,-43.20973,0,
1003O00031C0,Dinah de Queiroz,-22.90621478231893,-43.209550007735274,0,
1003O00032C1,Rodoviária,-22.90166312738,-43.20845501509,0,
1003O00033C0,Rua General Luís Mendes de Morais próximo ao 78-162,-22.902969883031133,-43.20837644295693,0,
1003O00035C0,Avenida Cidade de Lima - Santo Cristo,-22.89857053152866,-43.20275517675414,0,
1003O00037T0,Terminal Padre Henrique Otte,-22.90064741346,-43.20802297634,1,
1003O00042C0,R. da América,-22.900665590792354,-43.200767921599805,0,
1003O00064C2,Ponto Final: Rodoviária :: Linhas 112 e 133,-22.90054830158,-43.20867486079,0,
1003O00065C2,Ponto Final: Rodoviária :: Linha 104,-22.90021438426,-43.20675370481,0,
1003O00066C1,Ponto Final: Rodoviária :: Linhas 108 e 110,-22.9003951065,-43.2071738306,0,
1003O00067C2,Cidade do Samba,-22.89450927733436,-43.197400977518924,0,
1004O00001C0,Carlos Seidl,-22.87773,-43.21602,0,
1004O00003C0,Monsenhor Manuel Gomes,-22.88860,-43.22001,0,
1004O00005C0,Avenida Brasil próximo ao 2148-2238,-22.88464,-43.22650,0,
1004O00006C0,"Avenida Brasil , oposto ao 2251",-22.88546,-43.22908,0,
1004O00008C0,Rua Carlos Seidl,-22.88385,-43.22547,0,
1004O00009C9,"Rua Carlos Seidl , 1333",-22.87949112033401,-43.22460122453689,0,
1004O00010C0,INTO,-22.89425,-43.21386,0,
1004O00013C0,"R. Carlos Seidl , oposto ao 321",-22.876802010987493,-43.21870781349181,0,
1004O00014C0,"Rua Peter Lund , 38",-22.88343,-43.22595,0,
1004O00018C0,Ponto Final: Caju :: Linhas 209 e 906,-22.87797,-43.21592,0,
1004O00019C9,"Rua Carlos Seidl , oposto ao 1333",-22.87942810388926,-43.224736006031016,0,
1004O00020C9,"Rua General Sampaio , oposto ao 74",-22.878048145944312,-43.21601482104553,0,
1004O00021C9,"R. Carlos Seidl , 345",-22.876666800274553,-43.21927066964148,0,
1004O00022C0,"R. Carlos Seidl , 785",-22.875812711287196,-43.2226529349637,0,
1004O00023C0,"R. Carlos Seidl , oposto 785",-22.87565084417294,-43.222618066246504,0,
1004O00024C0,General Gurjão,-22.8764,-43.21381,0,
1004O00025C0,"R. Monsenhor Manuel Gomes , oposto ao 287",-22.88820731333701,-43.21921541544322,0,
1004O00026C0,Estaleiro Inhaúma,-22.874688798407966,-43.2103469432941,0,
1005O00004S0,"BRS 2,4: Central",-22.90523,-43.19246,0,
1005O00005P0,Terminal Procópio Ferreira :: Plat. Central,-22.904897880610413,-43.19235807605743,0,1005O00377T9
1005O00012S0,"BRS 1,3,5: Central",-22.90558,-43.19360,0,
1005O00013S0,"BRS 4,5: Rua de Santana",-22.90677,-43.19493,0,
1005O00016S9,"BRS 1,2: Treze de Maio",-22.90836,-43.17734,0,
1005O00018S0,"BRS 1,2,3: Santa Luzia",-22.90853,-43.17225,0,
1005O00019S0,"BRS 5,I: Central",-22.90609,-43.19353,0,
1005O00020S0,"BRS 1,4: Praça Tiradentes",-22.90723,-43.18272,0,
1005O00025S0,"BRS 3,4: Central",-22.90590,-43.19296,0,
1005O00026S9,"BRS 3,4: Passos",-22.90344,-43.18532,0,
1005O00027S0,BRS 4: Central,-22.90562,-43.19151,0,
1005O00029S0,"BRS 1,2,3: Beira Mar",-22.91079,-43.1713,0,
1005O00030S0,"BRS 1,3: Candelária",-22.90042,-43.17774,0,
1005O00031S0,BRS 2: Uruguaiana,-22.90241,-43.18315,0,
1005O00033S0,BRS 4: Central,-22.90542,-43.19240,0,
