route_id,trip_headsign,trip_short_name,direction_id,trip_id,service_id,shape_id
O0460AAA0A,"",460,0,O0460AAA0ACDU01,U,O0460AAA0ACDU01
O0461AAA0A,"",461,0,O0461AAA0ACDU01,U,O0461AAA0ACDU01
O0583AAA0A,"",583,0,O0583AAA0ACDU01,U,O0583AAA0ACDU01
O0584AAA0A,"",584,0,O0584AAA0ACDU01,U,O0584AAA0ACDU01
O0663AAA0A,"",663,0,O0663AAA0ACDU01,U,O0663AAA0ACDU01
O0680AAA0A,"",680,0,O0680AAA0ACDU01,U,O0680AAA0ACDU01
O0821AAA0A,"",821,0,O0821AAA0ACDU01,U,O0821AAA0ACDU01
O0821AAN0A,"",SN821,0,O0821AAN0ACDU01,U,O0821AAA0ACDU01
O0822AAA0A,"",822,0,O0822AAA0ACDU01,U,O0822AAA0ACDU01
O0837AAA0A,"",837,0,O0837AAA0ACDU01,U,O0837AAA0ACDU01
O0843AAA0A,"",843,0,O0843AAA0ACDU01,U,O0843AAA0ACDU01
O0852AAA0A,"",852,0,O0852AAA0ACDU01,U,O0852AAA0ACDU01
O0866AAA0A,"",866,0,O0866AAA0ACDU01,U,O0866AAA0ACDU01
O0944AAA0A,"",944,0,O0944AAA0ACDU02,U,O0944AAA0ACDU02
O0844AAA0A,"",844,0,O0844AAA0ACDU02,U,O0844AAA0ACDU02
O0834AAA0A,"",834,0,O0834AAA0ACDU02,U,O0834AAA0ACDU02
O0463AAA0A,"",463,0,O0463AAA0ACDU02,U,O0463AAA0ACDU02
O0010AAA0A,"",010,0,O0010AAA0ACDU02,U,O0010AAA0ACDU02
O0892AAA0A,"",892,0,O0892AAA0ACDU02,U,O0892AAA0ACDU02
O0741AAA0A,"",741,0,O0741AAA0ACDU02,U,O0741AAA0ACDU02
O0743AAA0A,"",743,0,O0743AAA0ACDU02,U,O0743AAA0ACDU02
O0043CAA0A,"",LECD43,0,O0043CAA0ACDU01,U,O0043CAA0ACDU01
O0050CAA0A,"",LECD50,0,O0050CAA0ACDU01,U,O0050CAA0ACDU01
O0006AAA0A,Castelo,006,0,O0006AAA0AIDU01,U,O0006AAA0AIDU01
O0006AAA0A,Silvestre,006,1,O0006AAA0AVDU01,U,O0006AAA0AVDU01
O0006AAN0A,Silvestre,SN006,1,O0006AAN0AVDU01,U,O0006AAN0AVDU01
O0007AAA0A,Central,007,0,O0007AAA0AIDU01,U,O0007AAA0AIDU01
O0007AAA0A,Silvestre,007,1,O0007AAA0AVDU01,U,O0007AAA0AVDU01
O0014AAA0A,Castelo,014,0,O0014AAA0AIDU01,U,O0014AAA0AIDU01
O0014AAA0A,Paula Matos,014,1,O0014AAA0AVDU01,U,O0014AAA0AVDU01
O0100AAA0A,Central,100,0,O0100AAA0AIDU01,U,O0100AAA0AIDU01
O0100AAA0A,General Osório,100,1,O0100AAA0AVDU01,U,O0100AAA0AVDU01
O0105AAA0A,Central,105,0,O0105AAA0AIDU01,U,O0105AAA0AIDU01
O0105AAA0A,Alto Gávea,105,1,O0105AAA0AVDU01,U,O0105AAA0AVDU01
O0107AAA0A,Urca,107,0,O0107AAA0AIDU01,U,O0107AAA0AIDU01
O0107AAA0A,Central,107,1,O0107AAA0AVDU01,U,O0107AAA0AVDU01
O0108AAA0A,Rodoviária,108,0,O0108AAA0AIDU01,U,O0108AAA0AIDU01
O0108AAA0A,Jardim de Alah,108,1,O0108AAA0AVDU01,U,O0108AAA0AVDU01
